Gene	SRR11319298	SRR11319299	SRR11319300	SRR11319307	SRR11319308	SRR11319309
DDX11L1	3	0	3	2	1	4
WASH7P	47	54	67	58	61	36
MIR6859-1	3	3	4	6	5	2
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC101927589	1	0	1	1	1	1
LOC729737	85	94	104	107	89	86
LOC100996442	4	2	1	3	3	3
LOC102723897	91	61	107	89	75	74
LOC102723917	0	0	0	0	0	0
LOC101929192	1	2	0	0	0	1
OR4F29	0	0	0	0	0	0
RP4-669L17.10	0	0	2	0	0	1
LOC100134822	13	9	7	15	11	9
RP5-857K21.5	0	0	0	0	0	0
MIR6723	272	324	276	364	285	443
OR4F16	0	0	0	0	0	0
LOC100133331	47	56	47	68	56	40
LOC101928706	22	29	31	20	26	14
LOC101060494	20	21	13	18	7	14
LOC100288069	22	23	26	34	41	29
LOC100287934	5	6	3	4	6	2
FAM87B	1	2	2	4	3	2
LINC00115	15	22	16	14	7	1
LINC01128	345	368	401	421	375	304
FAM41C	0	1	0	4	2	0
LOC284600	3	0	0	3	0	2
LOC100130417	0	0	0	0	0	0
LOC101928801	0	0	0	1	1	0
SAMD11	2	4	2	3	0	4
NOC2L	2626	2553	3379	2910	2490	2122
KLHL17	483	387	473	399	344	234
PLEKHN1	162	168	231	180	150	138
PERM1	60	53	64	52	44	38
HES4	341	355	388	241	201	152
ISG15	2836	2862	2824	636	545	415
AGRN	9395	8504	9994	8970	7681	6245
LOC100288175	29	26	25	31	40	23
RNF223	20	21	23	17	15	12
C1orf159	174	161	216	196	138	74
RP11-465B22.5	0	0	0	0	0	0
MIR200B	0	3	0	1	2	1
MIR200A	2	0	0	4	1	0
MIR429	9	2	5	12	5	3
TTLL10-AS1	4	5	4	2	4	4
TTLL10	6	11	12	10	10	4
TNFRSF18	0	0	1	1	3	1
TNFRSF4	0	0	0	0	4	1
SDF4	2420	2091	2666	2428	2079	1784
B3GALT6	486	378	563	518	427	355
FAM132A	16	11	19	23	22	13
UBE2J2	936	806	1142	1013	857	727
LOC101928895	8	13	8	7	11	6
SCNN1D	23	11	12	33	18	14
ACAP3	513	412	546	541	437	319
MIR6726	0	0	0	0	0	0
PUSL1	154	173	235	181	170	133
CPSF3L	1378	1192	1662	1345	1138	906
MIR6727	0	0	0	0	0	0
GLTPD1	362	320	466	351	342	264
TAS1R3	0	8	2	6	5	1
DVL1	1355	1178	1605	1227	1023	861
MIR6808	0	0	0	0	0	0
MXRA8	19	14	17	16	24	14
AURKAIP1	1432	1221	1693	1393	1257	991
CCNL2	3524	2933	3579	3666	3200	2662
LOC148413	357	274	351	306	244	212
MRPL20	763	636	783	812	610	629
ANKRD65	402	397	400	384	359	307
TMEM88B	0	0	0	1	1	3
LOC102724312	10	6	7	15	8	9
VWA1	782	649	803	774	679	512
ATAD3C	4	7	3	20	10	9
ATAD3B	596	405	564	668	548	357
ATAD3A	910	913	1127	960	842	702
TMEM240	12	5	9	8	4	5
SSU72	2458	2141	2771	2344	1993	1685
C1orf233	129	133	174	149	128	107
MIB2	533	448	565	610	464	354
MMP23B	3	4	3	6	2	1
CDK11B	969	807	1072	952	877	723
SLC35E2B	1282	1106	1379	1397	1207	915
MMP23A	0	0	1	0	0	0
CDK11A	455	402	471	504	454	355
SLC35E2	406	361	403	415	306	218
NADK	1376	1204	1521	1347	1208	935
GNB1	10545	9178	11492	10329	9169	7573
CALML6	4	2	0	1	5	1
TMEM52	20	16	33	29	16	19
KIAA1751	5	11	8	17	6	12
GABRD	19	18	14	17	7	17
PRKCZ	344	341	382	407	322	251
LOC101929017	3	4	0	4	3	4
LOC100506504	13	14	17	12	10	8
C1orf86	428	400	546	430	403	324
SKI	1854	1572	1958	2040	1705	1610
MORN1	136	98	122	116	123	98
LOC100129534	35	20	24	27	40	17
RER1	2775	2302	2946	2679	2313	1924
PEX10	261	217	293	273	215	182
PLCH2	8	12	11	8	6	12
PANK4	0	0	0	0	0	0
HES5	0	0	0	0	0	0
LOC115110	0	0	0	0	0	0
LOC100133445	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0
RP3-395M20.9	0	0	0	0	0	0
FAM213B	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0
TTC34	0	0	0	0	0	0
LOC101929067	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
LINC00982	1	0	0	0	0	0
PRDM16	34	30	48	41	44	21
MIR4251	0	0	0	0	0	0
ARHGEF16	850	678	892	750	683	473
MEGF6	89	68	86	104	75	65
MIR551A	1	0	0	0	0	0
TPRG1L	595	497	657	689	596	472
WRAP73	383	298	402	352	316	261
TP73	415	327	419	368	351	260
TP73-AS1	87	91	102	143	88	60
CCDC27	4	1	0	8	5	1
SMIM1	8	7	14	13	11	7
LRRC47	1252	1069	1456	1300	1085	926
CEP104	1223	1005	1229	1223	1083	877
DFFB	150	152	158	150	146	102
C1orf174	663	575	772	532	487	404
LINC01134	2	3	4	1	9	6
RP13-614K11.1	0	0	0	0	0	0
LOC102724415	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0
AJAP1	0	2	0	0	0	1
LOC102724429	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0
LOC100287877	0	0	0	0	0	0
MIR4689	0	0	1	1	1	0
NPHP4	392	296	381	388	287	250
KCNAB2	288	225	333	353	245	251
CHD5	7	5	9	7	11	8
RPL22	9822	8384	10525	9375	8225	6981
LOC102724450	8	7	2	8	10	7
RNF207	276	228	284	300	297	251
ICMT	4031	3582	4522	4033	3665	2862
LINC00337	27	29	39	39	24	28
HES3	0	0	0	0	1	0
GPR153	399	361	447	410	337	245
ACOT7	1162	1070	1353	1233	1068	922
HES2	91	70	91	66	61	70
ESPN	43	36	37	53	39	38
MIR4252	0	0	0	0	0	0
TNFRSF25	244	226	284	223	205	164
PLEKHG5	879	836	978	1022	767	600
NOL9	1507	1125	1632	1589	1395	913
TAS1R1	0	2	0	2	1	0
ZBTB48	265	264	308	249	276	199
KLHL21	669	619	792	737	672	521
PHF13	887	853	1013	928	753	603
THAP3	201	165	190	175	120	133
DNAJC11	1382	1109	1386	1345	1144	1053
LOC100505887	0	0	0	0	0	0
CAMTA1	894	791	952	873	696	618
LOC100129476	0	0	0	0	0	0
LOC101928836	2	0	2	0	1	2
VAMP3	2192	1877	2304	2295	2097	1663
PER3	767	704	958	657	560	486
UTS2	0	0	0	0	0	0
TNFRSF9	117	120	164	133	169	124
PARK7	4669	3979	5308	4806	4189	3529
ERRFI1	973	739	847	871	827	679
LOC102724539	0	0	0	0	0	0
SLC45A1	5	4	5	8	13	7
RERE	2017	1658	2117	2010	1833	1496
LOC102724552	0	0	2	0	1	1
ENO1	43471	38268	50404	43914	38988	32052
MIR6728	0	0	0	1	0	0
ENO1-AS1	2	3	7	2	0	2
CA6	0	0	0	0	2	0
SLC2A7	0	0	0	0	0	0
SLC2A5	0	1	0	0	1	2
GPR157	62	42	61	54	45	28
MIR34A	0	0	4	1	0	0
LOC102724571	20	12	9	8	8	6
H6PD	1708	1545	1920	1522	1455	1073
SPSB1	594	504	667	512	395	339
LOC100506022	5	7	5	6	7	2
SLC25A33	249	186	239	245	221	157
TMEM201	679	610	794	631	576	422
PIK3CD	93	109	134	131	145	125
C1orf200	0	0	0	0	0	0
LOC101929074	0	1	3	7	1	2
CLSTN1	12964	11205	13891	13354	12183	9856
CTNNBIP1	957	869	1034	1059	864	718
LZIC	757	656	874	792	724	618
NMNAT1	357	309	373	432	376	313
MIR5697	4	0	0	0	4	0
LOC102724647	4	1	0	6	2	2
RBP7	2	6	10	11	10	13
UBE4B	1786	1417	1924	1915	1732	1345
KIF1B	4242	3706	4780	4552	4049	3409
MIR1273D	0	0	0	0	0	0
PGD	5544	4536	5934	4865	4347	3707
APITD1-CORT	0	0	0	0	0	0
APITD1	46	37	46	35	42	23
CORT	3	7	8	7	6	5
DFFA	1387	1248	1570	1514	1283	1061
PEX14	598	528	733	612	532	466
CASZ1	237	247	266	225	219	170
C1orf127	4	2	8	4	5	0
TARDBP	8136	6941	8758	8037	7304	6165
MASP2	38	24	45	54	48	43
SRM	1297	1158	1519	1465	1264	1100
EXOSC10	2464	2079	2650	2418	2199	1805
MTOR	4367	3815	4822	4623	4192	3381
MTOR-AS1	1	0	0	1	1	0
ANGPTL7	0	0	1	1	0	1
UBIAD1	560	500	629	582	488	393
PTCHD2	7	6	5	8	6	16
RP1-69M21.2	0	0	0	5	2	3
FBXO2	115	125	154	116	115	68
FBXO44	233	227	273	256	201	187
FBXO6	97	107	92	76	91	59
MAD2L2	1246	1032	1302	1132	970	757
DRAXIN	0	1	0	0	0	0
AGTRAP	664	666	808	513	489	406
C1orf167	0	0	0	1	0	0
LOC102724659	0	0	0	0	0	0
MTHFR	259	187	273	315	265	221
CLCN6	657	505	649	598	529	383
NPPA-AS1	6	3	3	10	6	2
NPPA	4	3	3	5	3	2
NPPB	0	0	0	0	0	0
RNU5E-1	4	1	0	2	1	1
KIAA2013	1573	1308	1733	1498	1360	1090
