IDs,Symbols,Mouse_FA_PE,Mouse_FA_E1_R1,Mouse_FA_E1_R2,Mouse_FA_E1_R3,Mouse_FA_E1_R4,Mouse_FA_E2_R1,Mouse_FA_E2_R2,Mouse_FA_E2_R3,Mouse_FA_E2_R4,Mouse_FA_E6_R1,Mouse_FA_E6_R2,Mouse_FA_E6_R3,Mouse_FA_E11_R1,Mouse_FA_E11_R2,Mouse_FA_E11_R3,Mouse_WT_PE,Mouse_WT_E1_R1,Mouse_WT_E1_R2,Mouse_WT_E1_R3,Mouse_WT_E1_R4,Mouse_WT_E2_R1,Mouse_WT_E2_R2,Mouse_WT_E2_R3,Mouse_WT_E2_R4,Mouse_WT_E6_R1,Mouse_WT_E6_R2,Mouse_WT_E6_R3,Mouse_WT_E6_R4,Mouse_WT_E11_R1,Mouse_WT_E11_R2,Mouse_WT_E11_R3,Mouse_WT_E11_R4
11287,Pzp,0.271045,0.0687951,0.0557466,0.102766,0.0238756,0.253033,0.134827,0.105126,0.0936008,0.174387,0.0114687,0.336167,0.852565,0.107187,0.176717,0.254834,0.621698,0.166931,0.16244,0.163479,0,0.171658,0.177184,0.194016,0.108661,0.0122473,0.0117079,0.212613,0.152159,0.21855,0.136573,0.108941
11298,Aanat,0.120472,0.0604375,0.425224,0.134949,0,0.104617,0.0934936,0,0.0348241,0.324731,0,0,0,0,0,0.0602831,0,0.0829697,0.0499222,0,0.156743,0,0.18306,0.201535,0.292377,0,0.0620673,0.310546,0,0,0,0.1352593
11302,Aatk,0,0.03900687,0,0,0.00936518,0.0168385,0.0484581,0.0699752,0,0.0223831,0.0263498,0,0,0.0321018,0.00910208,0,0.0248036,0.0299915,0.0235526,0,0.0373917,0.0440285,0,0,0.0325422,0,0.010515,0.0595292,0,0,0.033465,0.0177934
11303,Abca1,0.134322,3.69275,5.79199,2.94838,4.55482,14.041,7.51216,19.2576,2.36424,50.3998,31.0461,40.6105,34.7316,38.3708,52.0135,0.834396,0.718267,0.898958,0.98761,0.474205,0.733735,0.150982,0.24559,0.194945,0.629356,0.686207,0.0567762,0.15097,10.9233,42.7835,45.7341,28.1923
11304,Abca4,0.396363,0.0542096,0.0117455,0.181645,0.0150939,0.0118487,0,0.1293722,0,0.52777,0.101353,0.31456,0.471367,0.143102,0.485813,0.0732639,0.0982464,0.0984679,0.0664575,0.0954199,0.0394225,0.00773027,0.127093,0.0136186,0,0.0386882,0.1448331,0.1124563,0.2097296,0.268132,0.306194,0.0933311
11305,Abca2,15.3369,10.5292,4.11322,5.44588,3.23105,2.82819,2.61258,5.31129,1.47334,7.3732,1.52984,8.3229,7.19083,3.67671,9.3535,10.7429,15.528,9.48668,8.4742,8.43539,6.2656,6.02069,12.2294,9.63494,3.03615,3.43012,8.79876,6.13036,4.6259,11.6725,5.45707,7.8818
11306,Abcb7,11.4157059,9.3051463,9.0669285,13.6344268,8.6122926,7.8966323,8.545714,11.5833924,8.476645,6.3001925,7.7862721,9.7367734,10.4898876,12.402447,13.7921319,7.9236184,5.7191792,13.5185979,9.23840124,4.4102834,9.873948,13.2578135,9.7393399,7.45195888,12.984203,12.4771747,11.3969,16.085971,15.7135582,16.319126,10.172558,7.219529
11307,Abcg1,2.2071567,9.360180013,4.434256,3.468342,4.124282,4.016333,8.02342,1.898576,1.010785,0.0693042,0.577258,4.38238,0.0295392,0.938038,0.06110574,2.02693,4.41178,2.28188,3.52107,3.280379,2.933355,5.94468,5.65338,4.34327,2.39771,1.2833,1.891586,1.540206,0.805535,0.4101182,1.276354,11.01263
11308,Abi1,59.49165,88.71443,88.03545,84.548733,85.06179,101.82522,87.25285,52.321436,73.723222,47.162295,56.25603,63.76719,55.568192,48.77946101,61.87571,45.768383,55.076611,61.366142,56.08808,26.95072,52.535342,59.938355,67.844736,57.701497,51.73602,53.532687,54.840532,53.50565,29.83786454,42.847887,43.305061,40.633939
11350,Abl1,40.509052,64.686153,53.709373,54.973515,46.288083,66.482653,47.8882514,40.4414928,34.17683,94.851353,24.050813,89.113145,68.010717,54.080355,74.66683,30.75698131,27.8129027,32.250303,26.220278,23.080348,33.493556,35.52025,39.106631,28.3442127,46.73273,38.223497,45.396877,45.396485,30.630252,63.25912012,45.357562,36.4274232
11352,Abl2,15.31616,22.299123,13.852336,20.49645,12.149822,19.49897306,13.844431,19.51296,11.09045,37.32776,14.21635237,27.027948,26.7745543,31.73029,25.706025,28.98294,21.6976455,22.040525,16.20169664,11.5359985,18.55034,25.90334,22.30183,16.51035,19.36339,22.67708,26.10882,30.92044,16.679601,34.09376,24.50653,26.01292
11354,Scgb1b27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11363,Acadl,110.272,95.8925,78.4489,68.0782,60.3838,76.3044,74.4561,57.5415,55.886,77.6252,69.2608,100.728,74.6081,51.4037,79.7883,76.2343,100.49,76.5953,74.7242,58.5041,63.7739,68.6514,83.0462,106.489,58.0615,80.36,93.7096,71.0491,44.5684,52.3528,47.1848,48.5701
11364,Acadm,30.8516,23.7012,28.2752,22.8504,30.9895,76.3044,20.5246,31.9184,27.5251,37.2227,52.861,31.0237,46.7118,38.4558,52.0816,12.3747,14.8452,15.4343,19.5036,14.3207,17.3227,17.2029,16.9848,23.4587,20.3909,18.9432,16.002,13.0005,41.2689,33.914,31.983,31.5698
