Symbols,Mouse_WT_PE,Mouse_WT_E1_R1,Mouse_WT_E1_R2,Mouse_WT_E1_R3,Mouse_WT_E1_R4,Mouse_WT_E2_R1,Mouse_WT_E2_R2,Mouse_WT_E2_R3,Mouse_WT_E2_R4,Mouse_WT_E6_R1,Mouse_WT_E6_R2,Mouse_WT_E6_R3,Mouse_WT_E6_R4,Mouse_WT_E11_R1,Mouse_WT_E11_R2,Mouse_WT_E11_R3,Mouse_WT_E11_R4,Mouse_FA_PE,Mouse_FA_E1_R1,Mouse_FA_E1_R2,Mouse_FA_E1_R3,Mouse_FA_E1_R4,Mouse_FA_E2_R1,Mouse_FA_E2_R2,Mouse_FA_E2_R3,Mouse_FA_E2_R4,Mouse_FA_E6_R1,Mouse_FA_E6_R2,Mouse_FA_E6_R3,Mouse_FA_E11_R1,Mouse_FA_E11_R2,Mouse_FA_E11_R3
Anxa5,249.369,275.238,217.096,210.757,225.552,244.551,287.359,312.798,343.48,256.626,328.517,395.916,248.722,427.108,965.425,803.809,439.317,323.776,257.537,244.724,212.454,262.645,375.189,322.738,521.351,206.899,495.637,762.906,574.25,583.801,690.675,732.668
Arg1,46.2039,80.0246,148.247,124.453,79.7632,29.6532,12.0598,17.8006,3.16542,2.77333,7.00996,15.2162,6.44471,3.36162,16.7929,20.8636,0.543674,114.779,83.3286,81.7017,54.0767,23.499,11.0243,1.86384,9.20804,7.69271,3.63091,37.0509,1.96299,10.2307,61.832,9.06349
Atm,5.212311,3.1799089,5.19219,3.37973,1.895133,3.154127,4.128644,3.865058,3.072247,6.85705,4.398227,4.29019,6.22407,4.457132,8.21635375,4.952554,5.687476,4.99053658,5.04459,4.291579,6.41462,6.159861,2.944994,6.003467,6.222020464,4.52751,4.976862522,2.981146,6.323003,6.304665,7.39343,6.86457
Bax,135.50346,106.88808,133.50507,119.7883,164.9128,175.35567,148.2242,122.83435,175.95867,168.8404,194.9195,194.32619,149.27558,184.2558,192.8773,185.5118,129.822,130.09009,88.65649,83.19188,121.8983,112.3983,83.58395,75.03418,142.66972,112.32927,81.93901,140.5713,88.53597,123.28695,163.0645,158.32799
Bcl2,1.977847,2.88143,5.79648,2.926633,2.577108,2.91536,2.9726,3.51915,3.26237,5.6212,4.57537,4.81659,7.72789,3.65776,9.23257,3.03167,2.022208,5.21454,4.43377,4.21865,7.05855,6.14637,4.13856,3.53772,4.35854,4.32009,2.748894,2.4922,3.03739,2.86988,6.44227,8.61858
Casp3,53.004371,48.55668,70.347088,57.744448,50.49262,67.888142,96.443557,64.579817,78.40423,113.75814,116.918411,99.88636,98.02129,141.4445,109.85148,97.037,107.26007,60.747837,102.6516,112.44089,115.97975,145.83926,117.96285,120.04236,124.89373,183.25157,77.34771,103.82756,61.38238,124.848777,149.38888,86.489895
Ctla4,0,0.0274862,0,0,0.0289188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945883,0
Cd28,0.40395,0.293635,1.03107,1.10389,0.679204,0.385907,0.173846,0.437608,0.105749,0.210534,0.333766,0.229754,0.746924,0,0.0420383,0,0,1.32991,0.337467,0.0506347,0.1493883,0.0130112,0.0102144,0.00979537,0.0104174,0,0,0,0,0.0157465,0.0129796,0.0226653
Entpd1,0,0,0,0.053334363,0.046768592,0,0,0,0.012045274,0,0,0,0,0.090584908,0.0712796,0.013883702,0,0.012614474,0.012802891,0,0,0,0,0,0.042393,0.010449607,0,0.038428864,0,0.112895725,0.09315162,0.0696527
Cd4,0,0.133472,0.287442,0.0613114,0.131358,0.0488742,0.0576677,0.3919423,0.280169,0.192431,0,0,0.0184772,0.2103676,1.20986,0.938628,0.1950577,0,0.0358351,0.239541,0.0200647,0.2489162,0,0.212844,0.247384,0.2265949,0.0643643,0.2054131,0.0863412,0,0,0.2352285
Cd80,66.87269,25.04145,40.0025,34.265715,36.49284,17.20819,19.11188,24.49379,8.69134,3.26283,3.958846,9.84786,11.766156,0.2605627,0.2469818,0.683608,0.668778,6.992116,5.212899,9.12854,3.58272,2.30459,1.0850048,0.347899,0.910992,2.451317,1.659023,0.706739,0.522051,0.2575494,0.131085,0.327352
Cd86,0,0,0,0.0185645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd8a,0,0.064625885,0.036166507,0.089359986,0,0,0.15356015,0.020260599,0.109226455,0.116282869,0.058421858,0.018283524,0.037292134,0.187905583,0.10676734,0.098237688,0.331944225,0.036180937,0.036908906,0.063323249,0.040072529,0.101211562,0.04617678,0.129863033,0.017705545,0.213528149,0.174686161,0.039957029,0.113846789,0.074921569,0.039299052,0.035352865
Cxcr3,0,0.170691,0.256937,0.0314314,0.804278,1.73088,0.328554,2.31705,11.763,0.873265,3.88647,5.35672,2.43077,6.8629,39.2575,22.7719,3.85453,0.26296,1.93276,0.122482,0.932317,0.235819,0.0617267,0.117975,17.4154,0.0616428,1.146,4.00221,0,0.426014,1.76083,0.0688828
Eomes,1.3783182,1.884611,1.529739,1.770472,1.951557,3.809495,13.530498,3.74194,13.92975,8.147899,9.763172,5.289821,4.648507,16.020216,12.564594,28.47733,4.264678,15.318568,9.194698,3.115115,5.063194,2.7591417,0.808528,0.3186589,7.011517,1.31928,4.183686,6.571266,10.873104,1.7876,13.53372,16.927123
Fanca,4.20354,2.54581,9.747181,7.079327,6.115261,8.972362426,8.437163,10.04776529,7.19625,15.830078,8.6772571,12.546997,14.1164238,8.9105848,14.334045,10.036673,8.188649,1.99722,3.100404,2.1556639,3.565045,3.1479688,1.5515438,0.921884,5.764313,2.823703,1.003306,1.398826536,1.5654841,3.345524,3.557803,2.6736934
Fancc,2.949787,4.0047583,2.4173219,2.9560182,2.8524394,3.187372,3.5221804,3.7014368,3.0762195,4.2597391,4.019247,4.7372002,5.7622105,3.2129061,5.160922,3.4942868,3.2477861,5.5223876,4.207696,4.1932711,4.3049361,3.6890364,3.6587074,3.6368259,3.6961341,3.56195,4.383428,4.07355,3.8949508,4.138995,3.646346,3.570044
Fyn,50.46394,19.26012,18.07619,24.24675,20.06137,4.27373,3.92996,1.91627,2.045076,8.450695,9.088101,1.557209,1.3162391,2.191838,13.501079,0.991473,0.2699374,24.02955,21.33848,21.985,21.153188,22.668258,28.1911,15.53656,17.557256,19.284317,15.009916,12.950598,25.035536,5.1239234,10.324323,16.53825
Gzmb,0,0,0,0,0,0,0,0,0,0.0927129,0.142024,0,0,0,0,0,0,0,0,0,0,0,0.0360586,0,0.0368818,0,0,0,0,0,0,0
Hif1a,52.32398,50.35538,74.455582,50.106908,28.7921,80.7963,63.69678,94.5892,59.73653,84.07728,74.16776,73.96807,80.04714,88.53996,90.87149,82.06444,52.952555,48.832765,71.02132,39.38949,58.55247,53.60292,56.06197,28.48104,73.74446,35.05133,49.58665,77.739947,63.70807,44.78839,67.15953,26.65898
Hmgb1,154.334509,99.842518,275.84575,226.845818,170.762107,285.182673,291.529155,196.6438281,172.31656,418.26013,385.001351,283.503533,418.71671,237.051441,333.47856,245.75424,141.332702,128.5260609,122.963312,114.20017,190.8247,156.435057,87.065146,63.551546,197.554734,162.770054,79.465529,104.402912,103.65748,142.87069,183.806547,158.264234
Nr4a1,80.4994,67.4428,72.4921,100.377,77.2826,65.6061,34.8192,19.586,8.0958,12.1085,30.9022,42.8903,21.9898,27.5081,23.6345,57.0194,38.4383,41.8847,76.0657,139.659,21.6409,50.2817,60.2193,40.154,25.726,27.2266,44.9064,28.9137,22.8694,57.0117,38.5817,23.1089
Ifng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il10,0.637899,1.80913,1.89859,1.62397,1.25377,0.898423,0.0534573,2.53743,0.184583,0.153781,0.0523999,1.05642,1.52503,0.172015,0,0.15809,0.0422411,0,0.1962,0.831251,0.328833,0.101572,0,0,0,0,0,0,0,0,0,0
Il2,0,0,0,0,0.0659668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244032,0,0.0764486,0,0,0.0772102,0
Il6,0.673427,0,0.0605214,0.39867,0.21988,0.4334362,0.134665,0,0.0577723,5.577623,0.3814807,0,0.690778,0.4838625,1.1219138,0.8834358,0.161584,0,0.627763,1.758899,0.205608,0.734105,2.541102,0.858872,8.016252,1.692193,20.197453,1.508678,3.6972347,10.257887,2.6667552,1.9328023
