"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ISG15",1627.70724376136,-2.28796088394985,0.119140859411541,-19.2038306190716,6.55132164568596e-47,7.94729909968754e-44,"ISG15"
"PADI1",59.8605060925584,1.57944420430758,0.252603071509073,6.25267220573306,3.80152524777394e-05,0.00628850034452787,"PADI1"
"IFI6",340.357286629236,-1.67665095590197,0.130046218546581,-12.8927313276811,1.68776619669109e-17,8.77457590186866e-15,"IFI6"
"RAB3B",423.29761361738,0.924717056997344,0.101707425018482,9.09193263745792,0.000350355495292198,0.0495157761647429,"RAB3B"
"IFI44L",282.111622990267,-3.9363429196803,0.446977722922642,-8.80657517771094,2.97968802656663e-14,1.1723059081819e-11,"IFI44L"
"IFI44",1394.41279261847,-3.83994897560438,0.157365793027115,-24.4014210568794,1.24916668174418e-95,3.03068656435834e-92,"IFI44"
"GBP4",249.591831912313,-3.36749064588983,0.339587906864692,-9.91640331653979,1.12030237121563e-16,5.0963255055581e-14,"GBP4"
"FNDC7",19.6909397581519,3.48838547583668,0.601675794702137,5.79778263734811,6.69734562234322e-07,0.000143372441506544,"FNDC7"
"AMPD1",23.8125062573381,2.22033782775504,0.421809364125328,5.26384195466872,5.03678196761815e-05,0.00814671501140194,"AMPD1"
"TCHHL1",40.6475028645452,2.40379342306249,0.340325817066565,7.0632120824155,4.18505227994267e-08,1.05037596619182e-05,"TCHHL1"
"SPRR1A",16.9618525716867,2.51714205926673,0.527251047584475,4.77408640684292,0.000119374241707738,0.0182919035425215,"SPRR1A"
"SPRR1B",62.3497523554915,1.50080564818562,0.250030301075165,6.00249506452595,0.000115353833328463,0.0178638909761962,"SPRR1B"
"NCF2",49.0032133459621,-2.32900677391661,0.313250162602203,-7.43497387062563,1.17918114985365e-08,3.28314506079862e-06,"NCF2"
"PXDN",1568.19593634566,0.874147190931202,0.0542443265034788,16.114997591041,2.93633926872688e-08,7.91560939534391e-06,"PXDN"
"CMPK2",132.323344668703,-3.31428901181974,0.350957717842829,-9.44355642665762,3.32573805671978e-15,1.38322196833342e-12,"CMPK2"
"RSAD2",128.931479165928,-9.41023961228199,1.19112112208021,-7.90032133411226,6.15827233211809e-14,2.35910448259587e-11,"RSAD2"
"RNF144A",41.169077994833,-2.69980602113614,0.361304712190702,-7.4723797671123,2.21759581526033e-09,7.01772658320534e-07,"RNF144A"
"ODC1",5284.51039881033,1.21353150318562,0.0766183187767573,15.8386600301357,6.77314956185811e-17,3.18053994103124e-14,"ODC1"
"IL1R2",46.9238911768475,3.4608932587585,0.368855478258132,9.38278936536899,2.85129342744081e-15,1.22077289480164e-12,"IL1R2"
"IL1RL1",388.868908506714,2.06882965655912,0.114573913332476,18.0567250989822,6.57400201151235e-39,6.83555337725609e-36,"IL1RL1"
"IFIH1",630.584703720072,-1.06830767118857,0.0996377897470692,-10.7219125785555,4.77167875843761e-07,0.000105244435888752,"IFIH1"
"SCN3A",20.1405040957091,-5.82925776990274,1.08387987527585,-5.37814005303787,6.41061725912326e-07,0.00013928262006128,"SCN3A"
"MROH2A",12.1146101280888,3.55109051844622,0.741236292479105,4.79076720133253,3.05924094316238e-05,0.00517829888483892,"MROH2A"
"ACKR3",211.184998653879,-1.10231320251358,0.146461449383852,-7.52630270389166,0.000181086267625754,0.027176008225032,"ACKR3"
"DTX3L",2430.07520500857,-0.812765875858425,0.0575367760390603,-14.1260239417422,2.61041396090815e-05,0.00452378524154047,"DTX3L"
"PARP14",3711.20267179056,-0.858936899031371,0.0528040442836086,-16.266498346567,6.37194808539401e-08,1.57214319117086e-05,"PARP14"
"TNFSF10",630.754828964018,-0.991721163150459,0.0967212739743895,-10.2533922724493,1.0369622981642e-05,0.00193526412492004,"TNFSF10"
"RTP4",22.6078021598934,-2.60225963414041,0.476600842687191,-5.46003993502873,1.10232260889416e-05,0.00201660786812588,"RTP4"
"PPM1K",153.125263341197,-1.65576339793762,0.189294639707132,-8.74701682255423,6.61721256068464e-09,2.00680756762263e-06,"PPM1K"
"HERC6",797.304186680219,-1.761051959636,0.0779639491136595,-22.588029206533,3.86439583836193e-52,5.62540102190347e-49,"HERC6"
"HERC5",1548.1278743695,-5.49384328331904,0.198320127712168,-27.7018946422449,7.86983854521686e-136,2.29122479405444e-132,"HERC5"
"FGF2",404.192308662068,-2.50176681551255,0.119753254968371,-20.8910130766243,2.96509931230113e-58,4.7958834099075e-55,"FGF2"
"SLC7A11",2155.4003728287,-0.837026592721494,0.0540097153920939,-15.4977041934944,9.73275766052916e-07,0.000196777435089338,"SLC7A11"
"DDX60",2826.09468257584,-4.48465392405425,0.156206044335006,-28.70986166474,3.31026602039799e-138,1.20468856147334e-134,"DDX60"
"DDX60L",1100.00108471967,-1.02407905432429,0.0683799610344018,-14.9763035666119,4.17139387110766e-11,1.51807451454286e-08,"DDX60L"
"VEGFC",124.808570618556,-1.49876322627935,0.180534072575963,-8.30183025782416,1.79845204554598e-07,4.15556609952584e-05,"VEGFC"
"FST",552.009721472857,0.992194519940492,0.0890538430815869,11.1415126580387,1.84074019686787e-06,0.00035727540061074,"FST"
