"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030574","collagen catabolic process","5/21","45/18805",0.111111111111111,99.4973544973545,22.1184726776409,1.23379579088371e-09,6.85990459731343e-07,5.1040183770242e-07,"MMP3/MMP10/MMP1/MMP12/MMP13",5
"GO:0022617","extracellular matrix disassembly","5/21","65/18805",0.0769230769230769,68.8827838827839,18.3304133493021,8.22359678245444e-09,2.28615990552234e-06,1.70098607131821e-06,"MMP3/MMP10/MMP1/MMP12/MMP13",5
"GO:1904645","response to amyloid-beta","3/21","58/18805",0.0517241379310345,46.3177339901478,11.5573169006765,3.55989946528673e-05,0.00247413012837428,0.00184084274981274,"MMP3/MMP12/MMP13",3
"GO:0071492","cellular response to UV-A","2/21","11/18805",0.181818181818182,162.813852813853,17.949119905598,6.49314218589639e-05,0.00401131895039821,0.00298456711000852,"MMP3/MMP1",2
"GO:0031424","keratinization","3/21","83/18805",0.036144578313253,32.3666092943201,9.57571537804254,0.000104118616657778,0.00541923679666727,0.00403210916525982,"SPRR1A/KRT81/SPRR1B",3
"GO:0003417","growth plate cartilage development","2/21","19/18805",0.105263157894737,94.2606516290727,13.5987445572162,0.000200792896412378,0.00930340420044018,0.00692207090263724,"STC1/MMP13",2
"GO:0018149","peptide cross-linking","2/21","22/18805",0.0909090909090909,81.4069264069264,12.6172018605034,0.00027069917606839,0.0115775955303096,0.00861415191861353,"SPRR1A/SPRR1B",2
"GO:0003416","endochondral bone growth","2/21","28/18805",0.0714285714285714,63.9625850340136,11.1478005965298,0.000441176680351567,0.0175210167339622,0.0130362733367042,"STC1/MMP13",2
"GO:0008544","epidermis development","4/21","395/18805",0.010126582278481,9.06811332127788,5.41856605375938,0.000864346330612692,0.0282692094012151,0.0210333193765194,"SPRR1A/KRT81/SPRR1B/CST6",4
"GO:0001959","regulation of cytokine-mediated signaling pathway","3/21","189/18805",0.0158730158730159,14.2139077853364,6.10463521346982,0.00116298726860258,0.0340326800706859,0.0253215510560007,"IL1R2/MMP12/CD24",3
"GO:0031334","positive regulation of protein-containing complex assembly","3/21","205/18805",0.0146341463414634,13.1045296167247,5.82651816326002,0.00146895757821783,0.0388924006423388,0.0289373598115091,"MMP3/MMP1/MAP1B",3
