Symbols,Mouse_WT_PE,Mouse_WT_E1_R1,Mouse_WT_E1_R2,Mouse_WT_E1_R3,Mouse_WT_E1_R4,Mouse_WT_E2_R1,Mouse_WT_E2_R2,Mouse_WT_E2_R3,Mouse_WT_E2_R4,Mouse_WT_E6_R1,Mouse_WT_E6_R2,Mouse_WT_E6_R3,Mouse_WT_E6_R4,Mouse_WT_E11_R1,Mouse_WT_E11_R2,Mouse_WT_E11_R3,Mouse_WT_E11_R4,Mouse_FA_PE,Mouse_FA_E1_R1,Mouse_FA_E1_R2,Mouse_FA_E1_R3,Mouse_FA_E1_R4,Mouse_FA_E2_R1,Mouse_FA_E2_R2,Mouse_FA_E2_R3,Mouse_FA_E2_R4,Mouse_FA_E6_R1,Mouse_FA_E6_R2,Mouse_FA_E6_R3,Mouse_FA_E11_R1,Mouse_FA_E11_R2,Mouse_FA_E11_R3
Cdh1,463.876,328.635,314.216,250.784,234.068,202.21,221.533,249.753,133.221,52.6324,74.9689,161.402,152.38,0.534567,0.445037,1.91676,2.71234,479.571,201.736,72.9218,125.921,37.8189,27.784,32.203,4.0878,6.43208,2.18166,1.5105,0.955322,0.872813,0.473998,0.267646
Twist2,8.35479,5.19373,11.3115,10.2296,8.58135,20.1787,24.0043,17.5755,8.7068,65.728,38.0702,28.0799,35.096,151.458,291.621,349.49,190.937,6.39911,26.2384,33.8456,75.4859,80.1832,74.2624,44.7667,193.843,85.3552,357.968,195.832,116.158,316.19,286.783,227.736
Fgfr1,0.8780041,8.225755,4.549302,6.069599,5.557116,13.29349,5.899998,8.542118,15.792939,37.98094,25.027223,5.572676,12.302983,91.132883,134.11516,124.153305,79.88488,12.929575,50.12396,73.99831,79.46415,81.53634,160.04383,115.16663,74.15248,68.59411,213.71071,66.67885,135.44922,278.278594,238.84218,232.917127
Hey1,0.395289,0.11811,0.025386,0.0870571,0.0232346,0.0715648,0.0282102,0.0268128,0.024624,0.219936,0.0279721,0,0.108158,3.83206,2.84435,7.37787,2.2366,0.129418,0.26186,0.16948,0.439598,0.299248,3.58846,1.65604,1.91942,0.213321,17.4663,7.43523,20.279,11.9198,9.02732,15.7137
Krt14,3124.91475,2500.15674,3095.12543,2640.67144,2946.81807,3661.1077,3034.84269,3871.0157,1336.23483,819.90656,1178.13098,1805.06155,2175.76051,1.103659,1.258866,2.36907,4.66533,3303.6343,1115.905866,817.94062,1236.24413,549.76259,200.338368,105.017,75.744107,153.72406,1.86928,1.143283,1.13145,1.6786,3.911420065,0.3806952
Krt16,345.984,207.562,210.5894,281.219,284.642,239.747,671.11,305.858,298.285,20.66869,30.2538,30.5835,53.5627,0.869957,0.913467,2.82236,1.997903,137.7864,184.8122,182.7715,105.5925,65.4124,16.99388,15.2604,17.45995,37.9735,0.811399,1.063079,0.72942,1.51404,2.472420769,0.2849177
Ocln,19.081996,15.037959,19.489731,17.747347,9.37444,15.74968,9.690555,22.193341,16.426444,4.086175,5.065806,16.195324,21.242426,0.0433273,0.0582345,0.105266,0.0299223,23.774557,10.65665,5.543419,8.205363,2.087099,1.253145,0.494306,0.225329,0.434845,0,0.035326,0,0.0221926,0.0505146,0.0162374
Ptgfr,0.0356484,0.0266472,0,0.011642,0.0363655,0.00277823,0.0373149,0.0538822,0,0.157048,0,0,0,28.57427,11.508808,2.846914,9.715769,0,0.101914,2.776907,2.01602,3.0115,8.25103,3.10952,17.520036,20.962757,132.43978,15.233696,31.32624,97.55792,34.04437,27.431302
Ptgs2,50.0292,27.6414,59.8103,49.6508,19.8757,67.7839,97.7119,54.7803,55.3565,116.739,86.366,55.7559,70.8535,319.876,274.205,492.435,340.202,88.3921,112.893,92.2275,119.726,113.294,260.695,147.545,630.071,165.108,300.812,487.124,270.909,260.981,588.029,372.979
Ccl2,0,0.170566,1.74612,0.469528,3.39973,5.55948,0.744831,0.189808,6.73294,82.8178,10.8985,1.37617,4.08073,19.4273,25.256,41.3869,12.0239,0,82.5551,265.845,205.006,692.909,374.467,335.782,489.968,714.235,20.0261,33.5786,5.73185,72.4213,90.952,9.66747
Cxcl12,0.1196199,0.17691039,0.0884935,0.0634158,0.0620383,0.0446118,0,0.0680505,0.1217483,0,0.361783,0.0645466,0.1303515,0.0443383,0.074371,0,0.3074327,0.22802,0.3229026,2.967619,3.92365,5.578081,3.170776,3.63659,0.48436,2.3730584,0.639477,0.2610161,0.4470968,0.8862578,0.08467,1.6815302
Snai1,6.15647,21.3635,3.42722,4.05885,5.8922,5.1575,2.24336,6.40653,13.3127,26.7333,19.9856,15.9619,4.94555,43.8159,66.8305,83.063,27.4178,14.7007,60.7936,77.6216,112.224,126.844,175.544,121.85,56.4716,54.0368,69.7664,55.3114,53.2237,62.5384,79.5268,82.5819
Sox2,0.139382,0.124885,0.424947,0.0575425,0.225321,1.38576,0.0248086,2.12826,0.325312,16.9853,1.13333,0.0235833,2.80893,134.95,268.502,306.349,172.885,0,0.622745,0.466654,0.903665,0.695209,7.96164,10.5076,127.756,10.1131,332.517,181.193,137.166,232.207,191.157,254.712
Zeb1,0.0553942,0.0495354,0.1189561,0.0989882,0.40845,0.1859694,0.021958,0,0.789902,3.068202,3.318952,0.0839103,0.376263,9.751566,20.8786937,15.729983,13.041748,0,9.82725,6.983493822,8.1704,7.1047623,16.8512037,12.2981695,12.908897,7.92931,35.4639802,8.044338,23.80477,29.437328,21.11573,46.6557824
Traf1,0.0355648,0.0551381,0.177799,0.333859,0.3356157,0.4565041,1.070089,0.4472287,1.533852,4.244081,2.187075,0.375513,0.772782,9.7490329,11.941235,7.304804,10.218791,0.1609584,4.84532,3.662658,3.0665343,3.591642,5.260957,5.95968,9.235204,7.743826,9.908922,10.96378,5.38434,7.01008,5.242499,3.089985
Traf5,3.17164,2.87928,3.65995,2.813017,1.636794,2.182881,2.632708,2.862199,3.888941,8.99236,3.33354,2.433235,3.283724,15.26148,24.0814,24.90068,11.69584,5.71836,8.6837,12.46117,12.69974,14.80751,20.12457,12.09774,30.50502,26.08344,8.03164,37.08901,8.69468,16.29511,37.12882,8.48076
Twist1,0.374382,1.54611,3.32465,3.03281,5.18058,5.99735,0.76798,0.95069,3.19337,46.8992,41.0914,1.41384,6.02067,264.129,300.689,489.735,79.1142,8.98556,63.7618,70.2737,49.2741,90.4344,125.225,149.386,180.93,65.8807,578.048,170.53,437.46,385.871,275.627,710.01
Vcam1,0.16324,0.2047379,0.329632,0.249357,0.651406,0.308788,0.0173416,0.0166345,0.182523,26.61918,2.734491,0.1555013,2.009426,76.78,108.5171,82.1953,130.0117,0.063813,10.94107,95.7998,10.10953,13.20744,82.423,62.0919,58.756,57.6428,172.8875,81.8215,165.3848,356.235,146.8808,451.0011
Zeb2,0.1395156,0.172312,0.3221392,0.3019888,0.3281418,0.45001502,0.1574772,0.1935859,0.5554889,9.4043923,2.8801258,0.3437557,0.718659,14.5252924,21.038833,13.513439,7.477994,0.0518678,13.652214,18.442607,18.422872,17.327456,27.377228,17.8213828,18.21047133,14.71690932,35.175495,13.82754551,32.811011,27.3871685,22.5973006,25.598463
Il33,4.06374,12.423434,73.2932,22.4719,18.30191,94.19243,9.7698,16.6399,11.1702,322.9805,113.808228,31.751637,45.9259,492.77727,128.756,310.028,241.397465,0.218867,306.6558,244.3421,139.5641,243.1858,739.137,736.778,589.5506,463.879,611.8545,779.25395,1307.1141,511.624,782.07902,305.89936
Krt5,5772.19,2912.3,5694.28,4246.59,4260.25,4713.12,3387.37,3687.64,888.274,792.303,1245.59,1897.63,2554.07,0.698058,0.441256,0.508789,0.660992,3166.26,961.83,892.187,697.088,418.214,123.703,54.9605,47.846,124.6,1.22874,0.609357,0.586567,1.0234,0.860156,0.335793
Eda2r,0,0,0.047907538,0.091620272,0.030221399,0.0865953,0,0,0,0.011903599,0.048298397,0.011542546,0.19532,0.099018,0.7119022,0.111208259,0.3211754,0,0.561451,1.6224264,0.974585,2.127076,1.2464661,3.209116,2.061325001,5.1068523,0.1505851,0.190452321,0.54117,0.597861,0.572518668,0.918074
