"","WT_1","WT_2","WT_3","IrrKO_1","IrrKO_2","IrrKO_3"
"WASH7P",43.5217793214773,57.8962737431943,57.2660089967564,53.0932533603076,62.5528490595752,44.8334393757809
"LOC729737",78.709600900544,100.782402441857,88.890521427801,97.9478984405675,91.2656322344622,107.102105175476
"LOC102723897",84.2655727288177,65.4013462654603,91.4546710843722,81.470681880472,76.9092406470187,92.1576253835495
"MIR6723",251.870722881741,347.377642459166,235.901768404549,333.205934881931,292.255114458671,551.700378985303
"LOC100133331",43.5217793214773,60.0405801781274,40.1716779529485,62.2472625603607,57.4255663497739,49.8149326397565
"LOC101928706",20.3718967036702,31.0924433065303,26.4962131179022,18.3080184001061,26.6618700909665,17.4352264239148
"LOC101060494",18.5199060942456,22.5152175667978,11.1113151784751,16.4772165600955,7.17819579372174,17.4352264239148
"LOC100288069",20.3718967036702,24.6595240017309,22.2226303569502,31.1236312801803,42.0437182203702,36.1158261638235
"LINC00115",13.8899295706842,23.5873707842644,13.6754648350463,12.8156128800743,7.17819579372174,1.24537331599391
"LINC01128",319.468380125737,394.552384027695,342.741337428348,385.383787322233,384.546203235093,378.593488062149
"NOC2L",2431.66367017445,2737.20716419213,2888.08722985134,2663.81667721543,2553.38678948102,2642.68217653908
"KLHL17",447.255732176032,414.923295159559,404.280929186056,365.244967082116,352.757050434326,291.417355942576
"PLEKHN1",150.01123936339,180.121740534382,197.439523555981,164.772165600955,153.818481294037,171.86151760716
"PERM1",55.5597182827369,56.8241205257278,54.7018593401852,47.6008478402758,45.120087846251,47.3241860077687
"HES4",315.764398906888,380.614392200629,331.630022249873,220.611621721278,206.11676493401,189.296744031075
"ISG15",2626.12268416403,3068.5025083893,2413.71954338567,582.194985123373,558.873815368336,516.829926137474
"AGRN",8699.72588777189,9117.59096133564,8542.0372225908,8211.14625244757,7876.53169879667,7777.35635838199
"LOC100288175",26.8538638366562,27.8759836541306,21.3679138047599,28.3774285201644,41.01826167841,28.64358626786
"RNF223",18.5199060942456,22.5152175667978,19.6584807003791,15.5618156400902,15.3818481294037,14.944479791927
"C1orf159",161.123183019937,172.616668012116,184.618775273125,179.41858032104,141.513002790514,92.1576253835495
"SDF4",2240.90863740372,2241.87237772258,2278.67432813959,2222.59343377288,2131.92415073536,2221.74599573314
"B3GALT6",450.033718090169,405.27391620236,481.205418883192,474.177676562747,437.869943417026,442.107527177839
"FAM132A",14.8159248753965,11.7936853921322,16.2396144916175,21.054221160122,22.5600439231255,16.1898531079209
"UBE2J2",866.731605210696,864.155493278049,976.08630260143,927.301131965373,878.816256459933,905.386400727574
"SCNN1D",21.2978920083825,11.7936853921322,10.2565986262847,30.208230360175,18.4582177552845,17.4352264239148
"ACAP3",475.035591317401,441.727125596223,466.675237495955,495.231897722869,448.124508836629,397.274087802058
"PUSL1",142.603276925691,185.482506621715,200.858389764743,165.68756652096,174.327612133242,165.63465102719
"CPSF3L",1276.02152989352,1278.00663522014,1420.53890974043,1231.21423740713,1166.96954475076,1128.30822429048
"GLTPD1",335.210300305846,343.0890295893,398.297913320724,321.305722921862,350.706137350405,328.778555422393
"DVL1",1254.72363788514,1262.99649017561,1371.82006626558,1123.19692884651,1049.04204242533,1072.26642507076
"MXRA8",17.5939107895334,15.0101450445319,14.5301813872367,14.6464147200849,24.610957007046,17.4352264239148
"AURKAIP1",1326.02527634799,1309.09907852667,1447.03512285834,1275.15348156739,1288.99887324403,1234.16495614997
"CCNL2",3263.20745380608,3144.62538682943,3059.03054028942,3355.85977273944,3281.4609342728,3315.1837671758
"LOC148413",330.580323782285,293.769981585838,300.005509818828,280.112681521623,250.211396238301,264.019142990709
"MRPL20",706.534417495471,681.889446308733,669.243060365079,743.305547044307,625.528490595752,783.339815760171
"ANKRD65",372.250112494337,425.644827334225,341.886620876158,351.513953282037,368.138898563729,382.329608010131
"VWA1",724.128328285005,695.827438135799,686.337391408886,708.520312084105,696.284991991009,637.631137788883
"ATAD3B",551.89320160852,434.222053073957,482.060135435382,611.487814563543,561.950184994216,444.598273809827
"ATAD3A",842.655727288177,978.875887546971,963.265554318574,878.784883205092,863.43440833053,874.252067827727
"SSU72",2276.09645898279,2295.48003859591,2368.41956611958,2145.69975649243,2043.73488812678,2098.45403744974
"C1orf233",119.453394307884,142.596377923053,148.720680081129,136.39473708079,131.258437370912,133.254944811349
"MIB2",493.555497411646,480.32464142502,482.914851987573,558.394561203235,475.811835469556,440.862153861845
"CDK11B",897.289450266201,865.227646495515,916.256143948102,871.461675845049,899.325387299138,900.404907463599
"SLC35E2B",1187.12598064115,1185.80145851802,1178.65412547055,1278.81508524741,1237.72604614602,1139.51658413443
"CDK11A",421.327863644088,431.005593421558,402.571496081676,461.362063682673,465.557270049953,442.107527177839
"SLC35E2",375.954093713187,387.047311505429,344.450770532729,379.891381802201,313.789701839836,271.491382886673
"NADK",1274.1695392841,1290.87247382974,1300.02387588159,1233.04503924714,1238.75150268798,1164.42405045431
"GNB1",9764.62048819101,9840.2222299081,9822.40261777201,9455.17610273478,9402.41103323352,9431.2121220219
"TMEM52",18.5199060942456,17.154451479465,28.205646222283,26.5466266801538,16.407304671364,23.6620930038843
"GABRD",17.5939107895334,19.2987579143981,11.9660317306655,15.5618156400902,7.17819579372174,21.1713463718965
"PRKCZ",318.542384821025,365.604247156098,326.501722936731,372.568174442159,330.1970065112,312.588702314472
"LOC100506504",12.0379389612597,15.0101450445319,14.5301813872367,10.9848110400636,10.2545654196025,9.9629865279513
"C1orf86",396.325990416857,428.861286986625,466.675237495955,393.622395602281,413.25898640998,403.500954382028
"SKI",1716.79529493657,1685.42485785743,1673.53500918879,1867.41787681082,1748.40340404222,2005.0510387502
"MORN1",125.93536144087,105.071015311723,104.275419367228,106.186506720615,126.131154661111,122.046584967403
"LOC100129534",32.4098356649299,21.4430643493312,20.5131972525695,24.7158248401432,41.01826167841,21.1713463718965
"RER1",2569.63697057658,2468.09670660802,2517.9949627529,2452.35906469421,2371.88098155406,2396.09825997229
"PEX10",241.684774529906,232.657248190244,250.431949791785,249.904451161448,220.473156521454,226.657943510892
"PRDM16",31.4838403602176,32.1645965239968,41.0263945051389,37.5314377202175,45.120087846251,26.1528396358722
"ARHGEF16",787.09600900544,726.919881442329,762.407164553832,686.550690003978,700.38681815885,589.061578465121
"MEGF6",82.4135821193931,72.9064187877262,73.5056234883739,95.2016956805516,76.9092406470187,80.9492655396043
"TPRG1L",550.967206303808,532.860149080881,561.548774789089,630.711233883654,611.172099008308,587.816205149127
"WRAP73",354.656201704804,319.501658805035,343.596053980538,322.221123841867,324.044267259439,325.042435474411
"TP73",384.288051455597,350.594102111566,358.126235367775,336.867538561952,359.935246228047,323.797062158417
"TP73-AS1",80.5615915099685,97.5659427894571,87.1810883234202,130.902331560758,90.2401756925019,74.7223989596348
"LRRC47",1159.34612149978,1146.13178947175,1244.46729998921,1190.02119600689,1112.62034802687,1153.21569061036
"CEP104",1132.49225766312,1077.51398355389,1050.44664264199,1119.53532516649,1110.56943494295,1092.19239812666
"DFFB",138.899295706842,162.967289054917,135.045215246082,137.310138000796,149.716655126196,127.028078231379
"C1orf174",613.934887024243,616.488100043273,659.841178290984,486.993289442822,499.397335934641,503.130819661541
"NPHP4",362.990159447215,317.357352370102,325.64700638454,355.175556962058,294.306027542591,311.343328998478
"KCNAB2",266.686647757137,241.234473929976,284.620611879401,323.136524761872,251.236852780261,312.588702314472
"RPL22",9095.12588288403,8988.93257523965,8995.8917118039,8581.88362504972,8434.38005762305,8693.9511189535
"RNF207",255.57470410059,244.450933582376,242.739500822072,274.620276001591,304.560592962194,312.588702314472
"ICMT",3732.68707329521,3840.45282496522,3865.02824900496,3691.81191038139,3758.29822628431,3564.25843037458
"LINC00337",25.0018732272316,31.0924433065303,33.3339455354254,35.7006358802068,24.610957007046,34.8704528478296
"GPR153",369.472126580201,387.047311505429,382.058298829106,375.314377202175,345.578854640604,305.116462418509
"ACOT7",1076.00654407567,1147.20394268922,1156.4314951136,1128.68933436654,1095.18758681355,1148.23419734639
"HES2",84.2655727288177,75.0507252226593,77.7792062493259,60.41646072035,62.5528490595752,87.1761321195739
"ESPN",39.8177981026281,38.5975158287962,31.6245124310446,48.5162487602811,39.9928051364497,47.3241860077687
"TNFRSF25",225.942854349797,242.306627147443,242.739500822072,204.134405161183,210.218591101851,204.241223823002
"PLEKHG5",813.949872842096,896.320089802045,835.912788042205,935.53974024542,786.525167683511,747.223989596348
"NOL9",1395.47492420141,1206.17236964988,1394.89741317472,1454.57206188843,1430.51187603455,1137.02583750244
"ZBTB48",245.388755748755,283.048449411172,263.252698074641,227.934829081321,283.026005581029,247.829289882789
"KLHL21",619.490858852517,663.662841611802,676.935509334792,674.650478043909,689.106796197287,648.839497632829
"PHF13",821.357835279794,914.546694498977,865.827867368869,849.492053764922,772.168776096068,750.960109544329
"THAP3",186.125056247169,176.905280881983,162.396144916175,160.195161000928,123.05478503523,165.63465102719
"DNAJC11",1279.72551111237,1189.01791817042,1184.63714133589,1231.21423740713,1173.12228400252,1311.37810174159
"CAMTA1",827.83980241278,848.07319501605,813.690157685255,799.14500316463,713.717753204333,769.640709284238
"VAMP3",2029.78170792932,2012.43158918474,1969.26693624667,2100.84511141217,2150.38236849064,2071.05582449788
"PER3",710.23839871432,754.795865096459,818.818456998398,601.418404443485,574.255663497739,605.251431573042
"TNFRSF9",108.341450651337,128.658386095987,140.173514559225,121.748322360705,173.302155591282,154.426291183245
"PARK7",4323.47207770164,4266.09765229945,4536.83545902661,4399.41682154549,4295.63745427148,4394.92243214252
"ERRFI1",900.99343148505,792.321227707789,723.944919705264,797.314201324619,848.052560201126,845.608481559867
"RERE",1867.73252960467,1777.63003455956,1809.43494098706,1839.95584921066,1879.66184141314,1863.07848072689
