Name             Length  EffectiveLength  TPM         NumReads
ENST00000456328  1657    1360.044         1.962223    45.364
ENST00000450305  632     254.000          0.000000    0.000
ENST00000488147  1351    1287.824         7.842316    171.678
ENST00000619216  68      16.000           0.000000    0.000
ENST00000473358  712     327.000          0.000000    0.000
ENST00000469289  535     171.000          0.000000    0.000
ENST00000607096  138     30.000           0.000000    0.000
ENST00000417324  1187    796.000          0.000000    0.000
ENST00000461467  590     217.000          0.000000    0.000
ENST00000606857  840     451.000          0.000000    0.000
ENST00000642116  1414    1023.000         0.000000    0.000
ENST00000492842  939     549.000          0.000000    0.000
ENST00000641515  2618    2227.000         0.000000    0.000
ENST00000466430  2748    2538.999         0.499281    21.549
ENST00000495576  1319    964.433          1.052444    17.254
ENST00000477740  491     136.000          0.000000    0.000
ENST00000471248  629     251.000          0.000000    0.000
ENST00000610542  723     338.000          0.000000    0.000
ENST00000453576  336     47.000           0.000000    0.000
ENST00000442987  3812    4251.092         0.378131    27.325
ENST00000494149  755     368.000          61.163144   382.605
ENST00000595919  284     34.000           0.000000    0.000
ENST00000493797  323     43.000           0.000000    0.000
ENST00000484859  4860    4014.747         5.348369    365.000
ENST00000490997  518     157.000          0.000000    0.000
ENST00000466557  1301    892.216          17.722790   268.791
ENST00000410691  104     25.000           0.000000    0.000
ENST00000496488  457     112.000          0.000000    0.000
ENST00000662089  821     388.000          0.315604    2.082
ENST00000491962  278     33.000           0.000000    0.000
ENST00000655252  1229    816.092          0.396223    5.497
ENST00000624431  570     254.331          0.231306    1.000
ENST00000623083  1397    1382.118         9.576037    224.980
ENST00000612080  68      16.000           0.000000    0.000
ENST00000442116  1292    550.028          0.423543    3.960
ENST00000448958  2250    1661.536         0.236038    6.667
ENST00000441866  2256    1818.982         0.073433    2.271
ENST00000634344  1554    1163.000         0.000000    0.000
ENST00000450734  457     112.000          0.000000    0.000
ENST00000424587  5603    4881.959         0.624089    51.791
ENST00000669836  736     350.000          0.000000    0.000
ENST00000458203  385     68.000           0.000000    0.000
ENST00000450983  607     231.000          0.000000    0.000
ENST00000412666  426     91.000           0.000000    0.000
ENST00000635159  994     604.000          0.000000    0.000
ENST00000431321  437     98.000           0.000000    0.000
ENST00000453935  498     142.000          0.000000    0.000
ENST00000440163  462     115.000          0.000000    0.000
ENST00000455207  413     84.000           0.000000    0.000
ENST00000437905  363     58.000           0.000000    0.000
ENST00000426406  939     549.000          0.000000    0.000
ENST00000455464  902     389.000          0.606689    4.012
ENST00000601814  635     256.000          0.000000    0.000
ENST00000445840  183     35.000           0.000000    0.000
ENST00000431812  336     47.000           0.000000    0.000
ENST00000432723  2477    2086.000         0.000000    0.000
ENST00000514436  1239    909.021          5.145773    79.513
ENST00000419160  547     180.000          0.000000    0.000
ENST00000440038  793     405.000          0.000000    0.000
ENST00000642074  574     254.197          0.427052    1.845
ENST00000423728  838     449.000          0.000000    0.000
ENST00000616311  728     359.348          4.547857    27.780
ENST00000599771  457     114.248          12.936196   25.123
ENST00000641845  571     241.167          0.260114    1.066
ENST00000641916  622     263.424          4.022002    18.010
ENST00000601486  696     312.000          0.000000    0.000
ENST00000641579  545     179.000          0.000000    0.000
ENST00000616947  603     228.000          3.539938    13.720
ENST00000432964  575     204.000          0.000000    0.000
ENST00000608420  438     99.000           7.975022    13.421
ENST00000641303  384     68.000           0.000000    0.000
ENST00000641063  473     154.890          0.693834    1.827
ENST00000641049  519     167.578          10.500499   29.912
ENST00000642124  456     111.000          0.000000    0.000
ENST00000614007  104     25.000           0.000000    0.000
ENST00000634833  906     517.000          0.000000    0.000
ENST00000417636  553     185.000          0.000000    0.000
ENST00000419394  491     136.000          0.000000    0.000
ENST00000423796  607     231.000          0.000000    0.000
ENST00000450696  402     77.000           0.000000    0.000
ENST00000440196  1022    631.000          0.000000    0.000
ENST00000641296  1127    736.000          0.000000    0.000
ENST00000357876  1702    1311.000         0.000000    0.000
ENST00000635509  941     551.000          0.000000    0.000
ENST00000634337  891     502.000          0.000000    0.000
ENST00000648019  1216    918.100          0.066916    1.044
ENST00000440200  413     84.000           0.000000    0.000
ENST00000452176  818     430.000          0.000000    0.000
ENST00000416931  372     64.729           0.953914    1.050
ENST00000457540  1044    590.767          95.090091   954.916
ENST00000414273  1543    1096.284         12.020314   224.002
ENST00000621981  89      23.000           0.000000    0.000
ENST00000427426  682     299.000          0.000000    0.000
ENST00000467115  207     34.000           0.000000    0.000
ENST00000514057  681     298.000          107.932229  546.740
ENST00000416718  547     180.000          0.659884    2.019
ENST00000438434  424     90.000           0.000000    0.000
ENST00000332831  995     605.000          0.000000    0.000
ENST00000441245  629     251.000          0.000000    0.000
ENST00000414688  421     88.000           0.000000    0.000
ENST00000636676  183     35.000           0.000000    0.000
ENST00000447954  355     54.000           0.000000    0.000
ENST00000440782  2455    2064.000         0.000000    0.000
ENST00000506640  6432    6547.718         15.321847   1705.353
ENST00000411249  104     25.000           0.000000    0.000
ENST00000422528  456     111.000          0.000000    0.000
ENST00000428504  417     86.000           0.000000    0.000
ENST00000655765  1869    1478.000         0.000000    0.000
ENST00000412115  1358    967.000          0.000000    0.000
ENST00000670700  1378    987.000          0.000000    0.000
ENST00000429505  1201    810.000          0.000000    0.000
ENST00000657896  1185    768.667          0.076533    1.000
ENST00000434264  844     455.000          0.000000    0.000
ENST00000457084  566     196.000          0.000000    0.000
ENST00000658648  1214    823.000          0.000000    0.000
ENST00000656571  1167    776.000          0.000000    0.000
ENST00000665867  1078    391.000          0.481579    3.201
ENST00000669749  1085    694.000          0.000000    0.000
ENST00000666217  1176    785.000          0.000000    0.000
